"","Virus","Subtype","clade","day","Sample","sample_time","ferret","PFU","RNA","ratio","AUC_PFU","AUC_RNA","ratio_auc","trans","trans_cat","trans_3cat"
"107","BC","H5N1","D1.1","d2","NIOSH","30min","6760",0,3.23858947921922,0,1.04481234441636,3.534244079905,2.48943173548863,0,"non-transmissible","Non-transmissible"
"108","BC","H5N1","D1.1","d2","NIOSH","30min","6761",0,0,0,0.212303431710126,2.92114102006338,2.70883758835325,0,"non-transmissible","Non-transmissible"
"109","BC","H5N1","D1.1","d2","NIOSH","30min","6761",0,0,0,0.212303431710126,2.92114102006338,2.70883758835325,0,"non-transmissible","Non-transmissible"
"110","BC","H5N1","D1.1","d2","NW","","6759",6.56820172406699,8.79912058767791,2.23091886361092,6.64836001098093,8.93920024573225,2.29084023475132,0,"non-transmissible","Non-transmissible"
"111","BC","H5N1","D1.1","d2","NW","","6760",6.56820172406699,8.78710246935313,2.21890074528613,6.9912260756925,9.05959421249683,2.06836813680433,0,"non-transmissible","Non-transmissible"
"112","BC","H5N1","D1.1","d2","NW","","6761",6.44715803134222,8.39804017652566,1.95088214518344,6.60959440922522,8.63511632413731,2.02552191491209,0,"non-transmissible","Non-transmissible"
"113","BC","H5N1","D1.1","d3","SPOT","30min","6759",0,0,0,0.86082082427709,2.50920576416116,1.64838493988407,0,"non-transmissible","Non-transmissible"
"114","BC","H5N1","D1.1","d3","SPOT","30min","6760",0,3.51228430742696,0,0.462880815605052,2.84327758851046,2.38039677290541,0,"non-transmissible","Non-transmissible"
"115","BC","H5N1","D1.1","d3","SPOT","30min","6761",0.529827543193592,0,0,-0.13917917572291,0,0,0,"non-transmissible","Non-transmissible"
"116","BC","H5N1","D1.1","d3","NIOSH","30min","6759",0,0,0,-0.185636576961912,2.83530005600715,3.02093663296906,0,"non-transmissible","Non-transmissible"
"117","BC","H5N1","D1.1","d3","NIOSH","30min","6759",0,0,0,-0.185636576961912,2.83530005600715,3.02093663296906,0,"non-transmissible","Non-transmissible"
"118","BC","H5N1","D1.1","d3","NIOSH","30min","6760",1.01848340569401,3.76027495492517,2.74179154923116,1.04481234441636,3.534244079905,2.48943173548863,0,"non-transmissible","Non-transmissible"
"119","BC","H5N1","D1.1","d3","NIOSH","30min","6760",1.11539341870207,3.30484206843187,2.1894486497298,1.04481234441636,3.534244079905,2.48943173548863,0,"non-transmissible","Non-transmissible"
"120","BC","H5N1","D1.1","d3","NIOSH","30min","6761",0.592514673421732,3.47808517337166,2.88557049994993,0.212303431710126,2.92114102006338,2.70883758835325,0,"non-transmissible","Non-transmissible"
"121","BC","H5N1","D1.1","d3","NIOSH","30min","6761",0,0,0,0.212303431710126,2.92114102006338,2.70883758835325,0,"non-transmissible","Non-transmissible"
"122","BC","H5N1","D1.1","d3","NW","","6759",6,8.6508923833763,2.6508923833763,6.64836001098093,8.93920024573225,2.29084023475132,0,"non-transmissible","Non-transmissible"
"123","BC","H5N1","D1.1","d3","NW","","6760",7,9.0025435075396,2.0025435075396,6.9912260756925,9.05959421249683,2.06836813680433,0,"non-transmissible","Non-transmissible"
"124","BC","H5N1","D1.1","d3","NW","","6761",6.36172783601759,8.55158715991904,2.18985932390145,6.60959440922522,8.63511632413731,2.02552191491209,0,"non-transmissible","Non-transmissible"
"125","BC","H5N1","D1.1","d5","SPOT","30min","6760",0,3.68915721330498,0,0.462880815605052,2.84327758851046,2.38039677290541,0,"non-transmissible","Non-transmissible"
